# energy dos(up) dos(down)
-6.840300000000000047e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.756999999999999673e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.673600000000000421e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.590300000000000047e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.506999999999999673e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.423600000000000421e+00 0.000000000000000000e+00 -0.000000000000000000e+00
-6.340300000000000047e+00 1.969999999999999876e-02 -1.969999999999999876e-02
-6.256999999999999673e+00 8.759999999999999731e-02 -8.759999999999999731e-02
-6.173600000000000421e+00 1.890999999999999903e-01 -1.890999999999999903e-01
-6.090300000000000047e+00 2.467999999999999916e-01 -2.467999999999999916e-01
-6.006999999999999673e+00 3.015999999999999792e-01 -3.015999999999999792e-01
-5.923600000000000421e+00 3.458999999999999853e-01 -3.458999999999999853e-01
-5.840300000000000047e+00 3.915000000000000147e-01 -3.915000000000000147e-01
-5.756999999999999673e+00 4.410999999999999921e-01 -4.410999999999999921e-01
-5.673600000000000421e+00 4.980999999999999872e-01 -4.980999999999999872e-01
-5.590300000000000047e+00 7.919000000000000483e-01 -7.919000000000000483e-01
-5.506999999999999673e+00 1.008499999999999952e+00 -1.008499999999999952e+00
-5.423600000000000421e+00 1.212299999999999933e+00 -1.212299999999999933e+00
-5.340300000000000047e+00 1.433699999999999974e+00 -1.433699999999999974e+00
-5.256999999999999673e+00 1.735400000000000054e+00 -1.735400000000000054e+00
-5.173600000000000421e+00 2.158900000000000041e+00 -2.158900000000000041e+00
-5.090300000000000047e+00 2.977500000000000036e+00 -2.977500000000000036e+00
-5.006999999999999673e+00 4.613800000000000345e+00 -4.613999999999999879e+00
-4.923600000000000421e+00 4.369399999999999729e+00 -4.369299999999999962e+00
-4.840300000000000047e+00 3.348300000000000054e+00 -3.348199999999999843e+00
-4.756999999999999673e+00 2.211699999999999999e+00 -2.211800000000000210e+00
-4.673600000000000421e+00 1.247100000000000097e+00 -1.247100000000000097e+00
