Vol#mass#value#bandno#spin#from#fname#to#toname
70.12#m_e#1.377#25#(down)#[0.00, 0.50, 0.00]# (X')#[0.50, 0.00, 0.00]#(X)
70.12#m_e#1.189#26#(down)#[0.00, 0.50, 0.00]# (X')#[0.50, 0.00, 0.00]#(X)
72.25#m_h#-9.150#24#(up)#[0.25, 0.25, 0.00]##[0.50, 0.00, 0.00]#(X)
72.25#m_h#-9.150#24#(up)#[0.25, 0.25, 0.00]##[0.00, 0.50, 0.00]#(X')
72.25#m_h#-9.150#24#(down)#[0.25, 0.25, 0.00]##[0.50, 0.00, 0.00]#(X)
72.25#m_h#-9.150#24#(down)#[0.25, 0.25, 0.00]##[0.00, 0.50, 0.00]#(X')
72.25#m_e#0.892#25#(up)#[0.02, 0.48, 0.00]##[0.50, 0.00, 0.00]#(X)
72.25#m_e#0.892#25#(down)#[0.02, 0.48, 0.00]##[0.50, 0.00, 0.00]#(X)
74.41#m_h#-8.365#24#(up)#[0.25, 0.25, 0.00]##[0.50, 0.00, 0.00]#(X)
74.41#m_h#-8.365#24#(up)#[0.25, 0.25, 0.00]##[0.00, 0.50, 0.00]#(X')
74.41#m_h#-8.365#24#(down)#[0.25, 0.25, 0.00]##[0.50, 0.00, 0.00]#(X)
74.41#m_h#-8.365#24#(down)#[0.25, 0.25, 0.00]##[0.00, 0.50, 0.00]#(X')
74.41#m_e#0.969#25#(up)#[0.02, 0.48, 0.00]##[0.50, 0.00, 0.00]#(X)
74.41#m_e#0.969#25#(down)#[0.02, 0.48, 0.00]##[0.50, 0.00, 0.00]#(X)
78.88#m_h#-6.922#24#(up)#[0.25, 0.25, 0.00]##[0.50, 0.00, 0.00]#(X)
78.88#m_h#-6.922#24#(up)#[0.25, 0.25, 0.00]##[0.00, 0.50, 0.00]#(X')
78.88#m_h#-6.922#24#(down)#[0.25, 0.25, 0.00]##[0.50, 0.00, 0.00]#(X)
78.88#m_h#-6.922#24#(down)#[0.25, 0.25, 0.00]##[0.00, 0.50, 0.00]#(X')
78.88#m_e#1.399#25#(up)#[0.02, 0.48, 0.00]##[0.50, 0.00, 0.00]#(X)
78.88#m_e#1.399#25#(down)#[0.02, 0.48, 0.00]##[0.50, 0.00, 0.00]#(X)
81.17#m_h#-6.588#24#(up)#[0.25, 0.25, 0.00]##[0.50, 0.00, 0.00]#(X)
81.17#m_h#-6.588#24#(up)#[0.25, 0.25, 0.00]##[0.00, 0.50, 0.00]#(X')
81.17#m_h#-6.588#24#(down)#[0.25, 0.25, 0.00]##[0.50, 0.00, 0.00]#(X)
81.17#m_h#-6.588#24#(down)#[0.25, 0.25, 0.00]##[0.00, 0.50, 0.00]#(X')
81.17#m_e#0.945#25#(up)#[0.04, 0.46, 0.00]##[0.50, 0.00, 0.00]#(X)
81.17#m_e#0.945#25#(down)#[0.04, 0.46, 0.00]##[0.50, 0.00, 0.00]#(X)
